in:Floor height m	in:window tilt degrees	in:sill height	in:Hzl glz percent	in:SF	in:Blind position	out:minimum Daylight	out:Average daylight	out:Maximum solar heat gain kWh/m²	out:Cooling load kWh/m²	out:Heating load kWh/m²	out:Lighting kWh/m²
124.883	3.078125	0.571	0.822	27	0	48.434403	67.828203	34.27556	6.951795	3.261402	9.024402
28.008	11.828125	0.478	0.672	32	0	22.671423	47.990708	30.305437	7.245685	2.911421	11.139713
105.508	4.828125	0.103	0.872	38	1	61.831153	74.998899	64.867563	10.125329	3.565586	8.183688
66.758	1.328125	0.665	0.972	27	1	42.251288	64.593517	35.800331	7.735141	4.324272	9.237767
144.258	8.328125	0.29	0.772	32	0	50.495442	68.987537	43.730837	7.548555	3.099146	8.401178
18.32	9.203125	0.618	0.847	38	0	42.251288	63.419871	43.584363	7.958687	3.202385	9.094706
95.82	2.203125	0.243	0.647	32	1	38.129211	62.274849	36.405482	7.975242	2.924584	9.75776
57.07	5.703125	0.431	0.747	38	1	40.19025	63.605936	43.04183	8.622165	3.143004	9.724664
134.57	12.703125	0.056	0.947	27	0	50.495442	67.842516	45.414408	7.373615	4.695128	8.464351
37.695	3.953125	0.15	0.797	32	0	39.15973	61.716651	44.320457	7.730953	4.097585	9.464393
115.195	10.953125	0.525	0.997	38	1	61.831153	74.755582	59.091459	9.40212	3.358521	8.327674
76.445	14.453125	0.337	0.897	27	1	29.885057	54.374202	33.795349	7.326131	4.39167	10.093804
153.945	7.453125	0.712	0.697	32	0	46.373365	65.824415	32.87446	6.933965	2.532746	8.728889
13.477	14.015625	0.126	0.984	38	0	59.770115	71.964592	60.210951	8.937125	4.587828	8.720288
90.977	7.015625	0.501	0.784	27	1	32.976615	57.809266	29.229014	7.352692	3.47424	10.302257
52.227	3.515625	0.314	0.684	38	1	40.19025	62.675607	42.322865	8.632827	3.031714	9.747915
129.727	10.515625	0.689	0.884	32	0	49.464923	68.64403	41.001471	7.410453	2.971564	8.474275
32.852	5.265625	0.782	0.634	27	0	17.518827	45.271282	20.819481	6.777011	2.588114	11.726076
110.352	12.265625	0.407	0.834	32	1	43.281807	65.108777	43.324289	7.885137	3.394849	9.298786
71.602	8.765625	0.595	0.934	27	1	30.915577	59.569736	32.916179	7.454035	4.144527	9.731486
149.102	1.765625	0.22	0.734	38	0	62.861673	75.786101	53.573653	8.504407	2.688305	7.847973
23.164	2.640625	0.548	0.859	32	0	41.220769	63.720439	41.00433	7.481469	3.679994	9.154329
100.664	9.640625	0.173	0.659	27	1	26.7935	53.987757	30.741125	7.28256	3.270479	10.60981
61.914	13.140625	0.736	0.759	38	1	34.007134	58.066896	35.583995	7.836258	2.836575	10.114472
139.414	6.140625	0.361	0.959	27	0	56.678557	72.279473	43.006123	7.302416	4.117284	8.364687
42.539	11.390625	0.267	0.709	27	0	21.640904	47.962082	28.136332	6.964849	3.596156	10.96697
120.039	4.390625	0.642	0.909	32	1	54.617519	72.207909	45.358155	8.260981	3.161101	8.309693
81.289	7.890625	0.079	0.809	32	1	44.312327	63.877879	44.632718	8.398343	3.854529	9.5515
158.789	14.890625	0.454	0.609	38	0	43.281807	62.689919	36.055459	7.322565	2.325675	8.858804
5.605	14.9453125	0.281	0.83	32	1	69.044788	76.644867	39.778831	7.912119	3.692723	10.462234
83.105	7.9453125	0.656	0.63	38	0	36.068173	60.05637	32.072907	7.546343	2.296624	10.252315
44.355	4.4453125	0.094	0.73	27	0	29.885057	54.460078	32.907734	7.184271	4.005169	10.585263
121.855	11.4453125	0.469	0.93	38	1	57.709076	73.496058	56.299731	9.234077	3.07951	8.269029
24.98	6.1953125	0.563	0.78	38	1	39.15973	62.43229	42.17708	8.35866	3.094173	9.107286
102.48	13.1953125	0.188	0.98	27	0	44.312327	63.706126	44.297773	7.429623	4.973275	9.350519
63.73	9.6953125	0.75	0.88	32	0	35.037654	59.984806	35.605468	7.299712	3.454188	9.537107
141.23	2.6953125	0.375	0.68	27	1	42.251288	64.536266	31.066569	7.185066	3.083973	8.966403
15.293	1.8203125	0.797	0.905	27	1	43.281807	64.006694	30.872765	7.573498	3.515247	10.29965
92.793	8.8203125	0.422	0.705	38	0	42.251288	63.691813	39.946415	8.015414	2.696318	9.710267
54.043	12.3203125	0.61	0.605	27	0	11.335711	38.787599	20.404956	6.753655	2.70465	12.14224
131.543	5.3203125	0.235	0.805	32	1	55.648038	71.43502	47.792342	8.449557	3.164047	8.37879
34.668	10.5703125	0.141	0.655	38	1	29.885057	55.977232	40.817684	8.244702	3.085279	9.956833
112.168	3.5703125	0.516	0.855	32	0	53.587	71.062888	45.517803	7.668576	3.276742	8.537012
73.418	7.0703125	0.328	0.955	32	0	47.403884	67.184128	48.091122	8.015034	4.450869	8.879533
150.918	14.0703125	0.703	0.755	27	1	31.946096	57.322632	27.007891	6.616386	3.017819	9.247008
10.449	7.5078125	0.164	0.867	27	1	47.403884	64.879773	37.099676	7.831428	4.427495	9.894581
87.949	14.5078125	0.539	0.667	32	0	25.762981	50.452504	28.61328	7.066348	2.781228	10.654106
49.199	11.0078125	0.352	0.767	27	0	21.640904	49.03554	29.503114	7.012463	3.80262	10.864191
126.699	4.0078125	0.727	0.967	38	1	65.95323	78.376712	55.188198	9.498314	2.745374	7.774353
29.824	12.7578125	0.633	0.717	38	1	28.854538	54.460078	35.464452	7.783149	2.788867	9.886097
107.324	5.7578125	0.258	0.917	27	0	48.434403	67.470384	42.895458	7.373238	4.385877	9.091954
68.574	2.2578125	0.446	0.817	38	0	50.495442	69.760426	48.779839	8.265032	3.428072	8.612104
146.074	9.2578125	0.071	0.617	32	1	43.281807	63.877879	37.7446	7.494823	2.870877	8.831036
20.137	8.3828125	0.492	0.992	27	1	32.976615	58.725283	36.763702	7.611688	4.591221	9.525245
97.637	1.3828125	0.117	0.792	38	0	55.648038	73.224116	57.626511	8.880065	3.342014	8.474118
58.887	4.8828125	0.68	0.692	32	0	30.915577	55.619413	30.068027	7.156716	2.842583	10.477119
136.387	11.8828125	0.305	0.892	38	1	60.800634	74.412076	57.916642	9.340601	3.090439	7.982025
